run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53416-DEMO_2026-01-09_5bd0,1,0,Set1,1,39.37,mm
L53416-DEMO_2026-01-09_5bd0,1,0,Set1,2,39.4208,mm
L53416-DEMO_2026-01-09_5bd0,1,0,Set2,1,39.3192,mm
L53416-DEMO_2026-01-09_5bd0,1,0,Set2,2,39.37,mm
L53416-DEMO_2026-01-09_5bd0,2,20,Set1,1,39.116,mm
L53416-DEMO_2026-01-09_5bd0,2,20,Set1,2,39.116,mm
L53416-DEMO_2026-01-09_5bd0,2,20,Set2,1,39.1414,mm
L53416-DEMO_2026-01-09_5bd0,2,20,Set2,2,39.116,mm
L53416-DEMO_2026-01-09_5bd0,3,40,Set1,1,39.0398,mm
L53416-DEMO_2026-01-09_5bd0,3,40,Set1,2,39.0652,mm
L53416-DEMO_2026-01-09_5bd0,3,40,Set2,1,39.0398,mm
L53416-DEMO_2026-01-09_5bd0,3,40,Set2,2,39.0144,mm
L53416-DEMO_2026-01-09_5bd0,4,60,Set1,1,38.9382,mm
L53416-DEMO_2026-01-09_5bd0,4,60,Set1,2,38.9636,mm
L53416-DEMO_2026-01-09_5bd0,4,60,Set2,1,38.9636,mm
L53416-DEMO_2026-01-09_5bd0,4,60,Set2,2,38.9382,mm
L53416-DEMO_2026-01-09_5bd0,5,80,Set1,1,38.862,mm
L53416-DEMO_2026-01-09_5bd0,5,80,Set1,2,38.8874,mm
L53416-DEMO_2026-01-09_5bd0,5,80,Set2,1,38.862,mm
L53416-DEMO_2026-01-09_5bd0,5,80,Set2,2,38.862,mm
L53416-DEMO_2026-01-09_5bd0,6,100,Set1,1,38.8366,mm
L53416-DEMO_2026-01-09_5bd0,6,100,Set1,2,38.862,mm
L53416-DEMO_2026-01-09_5bd0,6,100,Set2,1,38.8366,mm
L53416-DEMO_2026-01-09_5bd0,6,100,Set2,2,38.8112,mm
L53416-DEMO_2026-01-09_5bd0,7,120,Set1,1,38.7858,mm
L53416-DEMO_2026-01-09_5bd0,7,120,Set1,2,38.8112,mm
L53416-DEMO_2026-01-09_5bd0,7,120,Set2,1,38.7858,mm
L53416-DEMO_2026-01-09_5bd0,7,120,Set2,2,38.7858,mm
L53416-DEMO_2026-01-09_5bd0,8,140,Set1,1,38.735,mm
L53416-DEMO_2026-01-09_5bd0,8,140,Set1,2,38.7604,mm
L53416-DEMO_2026-01-09_5bd0,8,140,Set2,1,38.7604,mm
L53416-DEMO_2026-01-09_5bd0,8,140,Set2,2,38.735,mm
